SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
30792,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,27-08-2025 08:30,22.4
30793,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,06-09-2025 17:30,23.8
30794,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,07-09-2025 14:30,62.2
30795,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,10-09-2025 14:30,8.6
30796,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,12-09-2025 17:30,8
30797,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,12-09-2025 20:30,12.6
30798,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,12-09-2025 23:30,20
30799,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,13-09-2025 08:30,39.2
30800,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,13-09-2025 11:30,10.4
30801,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,14-09-2025 05:30,14.6
30802,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,14-09-2025 08:30,55.8
30803,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,14-09-2025 11:30,18
30804,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,15-09-2025 17:30,2.2
30805,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,16-09-2025 08:30,10
30806,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,16-09-2025 17:30,22
30807,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,17-09-2025 05:30,12.4
30808,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,17-09-2025 08:30,4.2
30809,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,17-09-2025 11:30,2
30810,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,18-09-2025 08:30,15.2
30811,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,01-10-2025 08:30,9.2
30812,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,01-10-2025 11:30,8
30813,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,02-10-2025 17:30,1
30814,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,02-10-2025 23:30,2
30815,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,04-10-2025 20:30,18.6
30816,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,05-10-2025 05:30,2
30817,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,05-10-2025 08:30,14.4
30818,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,05-10-2025 11:30,90.2
30819,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,01-11-2025 08:30,5.2
30820,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,01-11-2025 11:30,0.4
30821,Golokganj,CWC,18,Assam,285,DHUBRI,GOLOKGANJ,-,-,Brahmaputra,Brahmaputra,Sankosh,-,-,Sankosh,26.10722222,89.82361111,01-11-2025 14:30,3.2
30822,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-03-2021 08:00,32
30823,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,07-03-2021 08:00,12.4
30824,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-03-2021 08:00,26
30825,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-03-2021 20:00,20
30826,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,31-03-2021 08:00,17
30827,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-04-2021 08:00,60
30828,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-04-2021 20:00,20
30829,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,02-04-2021 08:00,23
30830,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,10-04-2021 08:00,8
30831,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,15-04-2021 08:00,3
30832,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,16-04-2021 08:00,10
30833,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-04-2021 08:00,6
30834,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-04-2021 08:00,5
30835,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-04-2021 08:00,50
30836,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-04-2021 08:00,143
30837,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,22-04-2021 08:00,3
30838,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,03-05-2021 08:30,22
30839,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,04-05-2021 08:30,10
30840,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-05-2021 08:00,3
30841,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,08-05-2021 08:30,13
30842,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,12-05-2021 08:00,4
30843,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,13-05-2021 08:00,26
30844,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,14-05-2021 08:00,60
30845,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,14-05-2021 20:00,6
30846,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,15-05-2021 08:00,55
30847,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,15-05-2021 20:00,5
30848,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-05-2021 08:00,56
30849,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-05-2021 08:00,50
30850,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-05-2021 20:00,30
30851,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-05-2021 08:00,7
30852,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-05-2021 20:00,10
30853,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-05-2021 08:00,160
30854,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-05-2021 20:00,23
30855,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,22-05-2021 08:00,6
30856,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,24-05-2021 08:00,35
30857,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,24-05-2021 20:00,5
30858,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-05-2021 08:00,36
30859,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,31-05-2021 08:00,9
30860,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,31-05-2021 20:00,20
30861,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-06-2021 08:00,17
30862,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-06-2021 20:00,30
30863,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,02-06-2021 08:00,70
30864,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,03-06-2021 08:00,30
30865,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,04-06-2021 08:00,13
30866,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,04-06-2021 20:00,8
30867,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,05-06-2021 08:00,40
30868,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-06-2021 08:00,10
30869,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,07-06-2021 08:00,5
30870,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,08-06-2021 08:00,64
30871,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,11-06-2021 08:00,37
30872,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-06-2021 08:30,16
30873,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-06-2021 17:30,10
30874,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-06-2021 08:00,10
30875,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-06-2021 20:00,11
30876,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-06-2021 08:00,60
30877,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,21-06-2021 08:30,5
30878,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,22-06-2021 08:30,5
30879,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,26-06-2021 17:30,12
30880,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,27-06-2021 08:30,30
30881,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,27-06-2021 17:30,5
30882,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,28-06-2021 08:30,13
30883,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,28-06-2021 17:30,2
30884,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,29-06-2021 08:30,4
30885,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,29-06-2021 17:30,30
30886,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-06-2021 08:30,50
30887,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-06-2021 17:30,40
30888,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-07-2021 08:00,23
30889,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,03-07-2021 08:00,22
30890,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,04-07-2021 08:00,4
30891,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,05-07-2021 08:00,20
30892,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-07-2021 08:00,10
30893,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-07-2021 20:00,10
30894,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,07-07-2021 08:00,86
30895,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,08-07-2021 08:00,8
30896,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,10-07-2021 08:00,80
30897,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,11-07-2021 08:00,31.2
30898,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,13-07-2021 08:00,30
30899,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,14-07-2021 08:00,30
30900,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,15-07-2021 08:00,44
30901,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,16-07-2021 17:30,6
30902,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-07-2021 08:30,4.4
30903,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-07-2021 08:00,22
30904,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-07-2021 08:00,76
30905,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-07-2021 08:00,18
30906,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,21-07-2021 08:00,55
30907,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,25-07-2021 08:00,12.4
30908,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,26-07-2021 08:00,4
30909,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,27-07-2021 08:00,27
30910,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,29-07-2021 08:00,7
30911,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,31-07-2021 08:00,7
30912,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-08-2021 08:00,100
30913,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,02-08-2021 08:00,220
30914,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,03-08-2021 08:00,25
30915,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,04-08-2021 08:00,35
30916,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,05-08-2021 08:00,7
30917,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,06-08-2021 20:00,40
30918,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,07-08-2021 08:00,50
30919,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,08-08-2021 08:00,10
30920,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,09-08-2021 08:00,16
30921,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,10-08-2021 08:30,5
30922,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,11-08-2021 08:00,70
30923,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,11-08-2021 20:00,10
30924,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,12-08-2021 08:00,30
30925,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,13-08-2021 08:00,36
30926,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,14-08-2021 08:00,45
30927,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,14-08-2021 20:00,2
30928,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,15-08-2021 08:00,4
30929,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,16-08-2021 08:00,10
30930,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,16-08-2021 20:00,15
30931,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-08-2021 08:00,50
30932,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-08-2021 20:00,8
30933,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-08-2021 20:00,8
30934,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,19-08-2021 08:00,20
30935,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,20-08-2021 08:00,3
30936,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,21-08-2021 08:00,2
30937,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,22-08-2021 08:00,70
30938,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,22-08-2021 20:00,40
30939,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,23-08-2021 20:00,60
30940,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,24-08-2021 08:00,50
30941,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,25-08-2021 08:00,42
30942,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,25-08-2021 20:00,14
30943,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,27-08-2021 08:00,7
30944,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,28-08-2021 08:00,7
30945,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,29-08-2021 08:00,7
30946,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-08-2021 08:00,2
30947,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,30-08-2021 20:00,7
30948,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,01-09-2021 08:30,9
30949,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,05-09-2021 08:00,80
30950,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,07-09-2021 08:30,13
30951,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,08-09-2021 08:30,19
30952,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,17-09-2021 20:00,20
30953,Gumrabazar,CWC,18,Assam,282,CACHAR,KATIGORA,-,-,-,Barak and Others,-,-,-,-,24.97694444,92.51833333,18-09-2021 08:00,39
