SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
73,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 05:00,8.5
74,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 06:00,11
75,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 07:00,9
76,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 08:00,8
77,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 09:00,1
78,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 10:00,8
79,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 12:00,6.5
80,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 13:00,2
81,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 01:00,6.5
82,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 02:00,19.5
83,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 03:00,3
84,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 04:00,1
85,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 05:00,0.5
86,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 06:00,14.5
87,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 07:00,2
88,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 08:00,3
89,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 09:00,0.5
90,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 14:00,2
91,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-05-2021 23:00,0.5
92,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 03:00,5.5
93,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 04:00,3
94,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 05:00,1.5
95,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 07:00,0.5
96,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 08:00,13.5
97,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,17-05-2021 09:00,2.5
98,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 06:00,0.5
99,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 07:00,4.5
100,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 08:00,30.5
101,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 09:00,0.5
102,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 10:00,0.5
103,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 11:00,0.5
104,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 12:00,1
105,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 13:00,0.5
106,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-05-2021 18:00,2.5
107,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 01:00,1
108,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 02:00,11.5
109,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 03:00,7.5
110,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 04:00,2.5
111,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 07:00,1.5
112,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 09:00,10.5
113,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 10:00,0.5
114,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-05-2021 11:00,0.5
115,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 00:00,3.5
116,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 02:00,3.5
117,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 03:00,0.5
118,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 04:00,3
119,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 05:00,31
120,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 06:00,2
121,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 10:00,17
122,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 12:00,0.5
123,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 18:00,1
124,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-05-2021 20:00,7
125,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,22-05-2021 07:00,1.5
126,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,24-05-2021 04:00,1
127,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,24-05-2021 20:00,0.5
128,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,24-05-2021 21:00,0.5
129,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,26-05-2021 19:00,2
130,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,28-05-2021 00:00,267
131,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,30-05-2021 03:00,5.5
